Company Name,Time Period,Stock Price,Percentage Return,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,Other Income,Interest,Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS Before Extra Ordinary,Diluted EPS Before Extra Ordinary,Basic EPS After Extra Ordinary,Diluted EPS After Extra Ordinary,Crude Oil Price,GDP
Eicher Motors Limited,Dec '15,1685.56,-0.0526,"1,284.34",691.97,78.49,32.08,150.31,34.54,0.38,112.69,252.4,27.15,92.97,92.58,92.97,92.58,31.43,2716448
Eicher Motors Limited,Mar '16,1918.06,0.1379,"1,544.93",809.42,74.17,37.43,170.92,109.87,0.57,148.93,380.94,27.16,140.26,139.75,140.26,139.75,40.44,2798726.369
Eicher Motors Limited,Jun '16,1922.24,0.0022,"1,557.47",834.1,86.51,39.13,160.72,46.82,0.65,149.51,337.1,27.16,124.1,123.63,124.1,123.63,44.96,2791993.716
Eicher Motors Limited,Sep '16,2482.78,0.2916,"1,762.49",928.25,95.64,35.77,198.38,66.46,0.75,186.17,396.16,27.2,145.71,145.29,145.71,145.29,46.06,2835614.058
Eicher Motors Limited,Dec '16,2180.3,-0.1218,"1,833.59",920.81,101.54,35.48,180.22,58.99,0.71,190.43,415.19,27.2,152.63,152.18,152.63,152.18,53.89,2901950.786
Eicher Motors Limited,Mar '17,2558.75,0.1736,"1,884.42",932.29,101.36,42.97,201.22,55.04,0.68,190.86,411.56,27.21,151.26,150.85,151.26,150.85,51.51,2938107.454
Eicher Motors Limited,Jun '17,2703.94,0.0567,"1,999.90","1,047.44",115.98,45.01,197.09,129.43,0.66,217.18,494.33,27.22,181.62,181.15,181.62,181.15,48.35,2946670.048
Eicher Motors Limited,Sep '17,3121.33,0.1544,"2,163.60","1,090.66",130.2,48.96,216.36,69.92,0.72,223.85,486.44,27.22,178.69,178.18,178.69,178.18,57.3,3032795.021
Eicher Motors Limited,Dec '17,3034.08,-0.028,"2,264.24","1,149.04",132.25,64.7,259.43,48.24,0.94,228.99,472.01,27.24,173.34,172.9,173.34,172.9,64.3,3116597.991
Eicher Motors Limited,Mar '18,2837.26,-0.0649,"2,529.77","1,228.46",143.62,63.67,270.28,84.84,0.72,265.34,260.13,27.26,95.47,95.3,95.47,95.3,69.42,3147143.007
Eicher Motors Limited,Jun '18,2859.04,0.0077,"2,544.91","1,304.26",165.32,69.83,247.65,125.99,0.72,286.42,591.22,27.27,216.86,216.49,216.86,216.49,73.28,3127552.992
Eicher Motors Limited,Sep '18,2418.54,-0.1541,"2,404.05","1,206.64",170.6,71.83,279.69,95.29,0.75,259.94,481.37,27.27,176.54,176.26,176.54,176.26,74.46,3193097.227
Eicher Motors Limited,Dec '18,2315.83,-0.0425,"2,345.92","1,252.28",179.1,76.48,277.81,144.55,0.72,257.77,501.41,27.27,183.86,183.67,183.86,183.67,60.53,3266006.55
Eicher Motors Limited,Mar '19,2089.9,-0.0976,"2,499.60","1,292.71",164.51,80.79,302.66,142.21,0.8,274.41,480.44,27.28,176.12,175.99,176.12,175.99,69.25,3287871.77
Eicher Motors Limited,Jun '19,1913.88,-0.0842,"2,352.58","1,240.62",204.07,86.82,266.66,188.36,2.94,209.67,498.24,27.29,182.6,182.5,182.6,182.5,61.78,3256509.346
Eicher Motors Limited,Sep '19,1776.52,-0.0718,"2,181.86","1,121.80",178.34,88.97,267.87,144.96,2.73,28.81,570.46,27.29,209.05,208.94,209.05,208.94,61.32,3297491.819
Eicher Motors Limited,Dec '19,2251.52,0.2674,"2,363.53","1,096.37",177.59,94.23,298.12,135.83,2.72,145.15,488.94,27.3,179.11,178.99,179.11,178.99,61.48,3377602.651
Force Motors Limited,Mar '14,345.25,-0.0767,566.07,389.03,58.02,22.31,74.36,38.12,3.3,13.97,44.86,13.18,34.05,34.05,34.05,34.05,105.9,2377153.849
Force Motors Limited,Jun '14,524.9,0.5203,545.01,361.34,60.02,21.65,61.47,11.99,1.93,5.56,19.4,13.18,14.72,14.72,14.72,14.72,105.75,2379355.815
Force Motors Limited,Sep '14,1384.5,1.6376,598.85,439.78,74.12,20.02,77.09,18.86,1.7,7.4,25.69,13.18,19.5,19.5,19.5,19.5,87.12,2457010.248
Force Motors Limited,Dec '14,1075.1,-0.2235,516.92,403.11,70.53,19.11,72.1,13.24,1.31,-2.28,9.99,13.18,7.58,7.58,7.58,7.58,54.74,2498611.783
Force Motors Limited,Mar '15,1398,0.3003,702.94,442.93,73.06,20.5,87.29,21.7,1.61,10.63,46.28,13.18,35.13,35.13,35.13,35.13,59.36,2560191
Force Motors Limited,Jun '15,1511.6,0.0813,640.01,478.86,66.82,19.73,66.57,15.16,0.77,13.64,35.76,13.18,27.14,27.14,27.14,27.14,55.12,2578225
Force Motors Limited,Sep '15,2350.7,0.5551,763.25,540.95,77.09,21.72,80.39,16.71,0.53,16.64,42.48,13.18,32.24,32.24,32.24,32.24,45.09,2637004
Force Motors Limited,Dec '15,3097,0.3175,745.76,565.59,76.6,23.03,84.74,14.57,0.61,10.69,27.44,13.18,20.82,20.82,20.82,20.82,31.43,2716448
Force Motors Limited,Mar '16,2855,-0.0781,910.78,652.23,83.19,27.47,77.85,24.99,2.42,28.9,73.74,13.18,55.96,55.96,55.96,55.96,40.44,2798726.369
Force Motors Limited,Jun '16,3044.75,0.0665,753.16,533.59,78.31,25.31,63.31,17.84,0.93,12,51.47,13.18,39.06,39.06,39.06,39.06,44.96,2791993.716
Force Motors Limited,Sep '16,3497.8,0.1488,849.22,626.59,88.68,26.25,75.92,19.1,0.84,17.72,50.28,13.18,38.16,38.16,38.16,38.16,46.06,2835614.058
Force Motors Limited,Dec '16,3741.85,0.0698,629.06,445.91,95.03,27.4,56.76,23.81,0.65,1.39,23.25,13.18,17.65,17.65,17.65,17.65,53.89,2901950.786
Force Motors Limited,Mar '17,4487.1,0.1992,837.56,524.47,88.06,34.12,52.84,24.18,3.12,23.97,54.91,13.18,41.67,41.67,41.67,41.67,51.51,2938107.454
Force Motors Limited,Jun '17,4215.5,-0.0605,744.45,588.29,74.46,30.78,70.02,28.16,3.44,1.27,29.96,13.18,22.74,22.74,22.74,22.74,48.35,2946670.048
Force Motors Limited,Sep '17,3764.1,-0.1071,892.99,705.15,81.79,31.85,67.67,9.42,0.99,14.61,41.74,13.18,31.68,31.68,31.68,31.68,57.3,3032795.021
Force Motors Limited,Dec '17,3691.5,-0.0193,749.52,611.3,83.43,32.7,57.66,9.69,0.57,7.24,14.65,13.18,11.12,11.12,11.12,11.12,64.3,3116597.991
Force Motors Limited,Mar '18,2733,-0.2597,"1,043.23",704.5,112.79,33.93,49.42,13.86,1.67,30.16,60.6,13.18,45.99,45.99,45.99,45.99,69.42,3147143.007
Force Motors Limited,Jun '18,2531.55,-0.0737,890.48,677.48,95.72,34.46,50,11.49,0.95,15.55,40.93,13.18,31.06,31.06,31.06,31.06,73.28,3127552.992
Force Motors Limited,Sep '18,1831.95,-0.2764,881.41,699.57,95.03,35.15,39.85,13.95,0.19,12.79,39.69,13.18,30.12,30.12,30.12,30.12,74.46,3193097.227
Force Motors Limited,Dec '18,1612.5,-0.1198,826.05,752.17,98.76,39.75,74.15,20.64,6.1,5.15,27.34,13.18,20.75,20.75,20.75,20.75,60.53,3266006.55
Force Motors Limited,Mar '19,1706.6,0.0584,"1,060.55",685.49,128.62,41.56,83.14,29.15,8.09,13.14,39.22,13.18,29.77,29.77,29.77,29.77,69.25,3287871.77
Force Motors Limited,Jun '19,1415.55,-0.1705,802.39,540.56,101.24,45.64,69.32,15.49,6.05,6.84,26.97,13.18,20.47,20.47,20.47,20.47,61.78,3256509.346
Force Motors Limited,Sep '19,1120.75,-0.2083,755.06,609.96,109.73,47.21,74.61,17.22,6.37,-5.83,7.53,13.18,5.72,5.72,5.72,5.72,61.32,3297491.819
Force Motors Limited,Dec '19,1084.9,-0.032,869.01,548.63,104.82,49.2,78.12,0.32,7.85,-5.1,15.39,13.18,11.68,11.68,11.68,11.68,61.48,3377602.651
Apollo Tyres Limited,Mar '14,159.6,0.4888,"2,212.42","1,373.09",132.1,62.78,323.96,13.3,56.37,18,129.62,50.41,2.57,2.56,2.57,2.56,105.9,2377153.849
Apollo Tyres Limited,Jun '14,199.1,0.2475,"2,306.53","1,451.28",147.47,60.61,329.72,21.69,51.29,58.8,139.05,50.91,2.76,2.75,2.76,2.75,105.75,2379355.815
Apollo Tyres Limited,Sep '14,203.75,0.0234,"2,249.63","1,509.84",140.71,67.71,365.4,15.44,45.97,66.58,161.67,50.91,3.19,3.18,3.19,3.18,87.12,2457010.248
Apollo Tyres Limited,Dec '14,223.2,0.0955,"2,121.80","1,245.04",134.65,59.76,316.59,14.77,44.84,73.33,161.94,50.91,3.19,3.19,3.19,3.19,54.74,2498611.783
Apollo Tyres Limited,Mar '15,168.25,-0.2462,"2,259.85","1,194.56",148.91,58.7,369.25,-14.35,30,90.35,182.42,50.91,3.59,3.59,3.59,3.59,59.36,2560191
Apollo Tyres Limited,Jun '15,170.25,0.0119,"2,143.76","1,131.82",134.75,59.62,384.8,11.78,25.6,108.02,221.65,50.91,4.35,4.35,4.35,4.35,55.12,2578225
Apollo Tyres Limited,Sep '15,179.95,0.057,"2,264.64","1,227.38",139.34,68.34,388.24,9.34,22.4,102.87,215.18,50.91,4.23,4.23,4.23,4.23,45.09,2637004
Apollo Tyres Limited,Dec '15,156.2,-0.132,"2,157.87","1,145.69",147.13,69.02,402.33,8.49,22.08,99.7,185.33,50.91,3.64,3.64,3.64,3.64,31.43,2716448
Apollo Tyres Limited,Mar '16,174.9,0.1197,"2,180.44","1,136.26",144.72,68.16,445.11,22.61,23.9,101.85,226.64,50.9,4.45,4.45,4.45,4.45,40.44,2798726.369
Apollo Tyres Limited,Jun '16,151.5,-0.1338,"2,265.94","1,237.08",156.3,63.13,464.74,25.3,24.22,99.06,236.25,50.9,4.64,4.64,4.64,4.64,44.96,2791993.716
Apollo Tyres Limited,Sep '16,219.95,0.4518,"2,075.52","1,246.35",148.71,64.42,417.47,42.79,23.53,81.16,204.62,50.9,4.02,4.02,4.02,4.02,46.06,2835614.058
Apollo Tyres Limited,Dec '16,184.9,-0.1594,"2,200.96","1,296.05",145.13,67.55,453.37,23.5,23.18,69.65,185.46,50.9,3.64,3.64,3.64,3.64,53.89,2901950.786
Apollo Tyres Limited,Mar '17,208.7,0.1287,"2,383.84","1,533.75",140.6,93.11,456.45,46.87,21.31,33.01,176.29,50.9,3.46,3.46,3.46,3.46,51.51,2938107.454
Apollo Tyres Limited,Jun '17,240.7,0.1533,"2,308.46","1,575.52",152.03,83.99,407.61,16.5,29.81,28.15,67.13,50.9,1.32,1.32,1.32,1.32,48.35,2946670.048
Apollo Tyres Limited,Sep '17,245.75,0.021,"2,480.77","1,480.74",171.91,86.85,426.33,18.67,35.3,53.95,127.6,50.9,2.51,2.51,2.51,2.51,57.3,3032795.021
Apollo Tyres Limited,Dec '17,268.25,0.0916,"2,669.16","1,573.42",169.76,89.05,488.1,41.99,34.43,81.24,203.98,57.21,3.6,3.6,3.6,3.6,64.3,3116597.991
Apollo Tyres Limited,Mar '18,277.05,0.0328,"2,841.31","1,651.48",191.64,104.5,499.48,44.7,38,81.59,223.68,57.21,3.91,3.91,3.91,3.91,69.42,3147143.007
Apollo Tyres Limited,Jun '18,254,-0.0832,"3,059.80","1,970.37",186.03,101.2,523.99,28.47,36.95,86.79,216.88,57.21,3.79,3.79,3.79,3.79,73.28,3127552.992
Apollo Tyres Limited,Sep '18,212.25,-0.1644,"3,109.15","2,000.62",189.87,106.95,540.53,10.61,33.43,55.78,146.84,57.21,2.57,2.57,2.57,2.57,74.46,3193097.227
Apollo Tyres Limited,Dec '18,235.95,0.1117,"3,123.17","1,979.43",180.14,106.82,504.78,26.86,37.23,42.07,123,57.21,2.15,2.15,2.15,2.15,60.53,3266006.55
Apollo Tyres Limited,Mar '19,217.45,-0.0784,"3,061.51","1,633.43",181.21,131.36,510.21,45.68,30.24,29.64,105.38,57.21,1.84,1.84,1.84,1.84,69.25,3287871.77
Apollo Tyres Limited,Jun '19,200.65,-0.0773,"3,103.70","1,842.25",219.79,145.4,560.15,21.47,45.4,41.62,149.86,57.21,2.62,2.62,2.62,2.62,61.78,3256509.346
Apollo Tyres Limited,Sep '19,181.65,-0.0947,"2,774.73","1,513.41",200.4,148.63,502.73,1.5,51.3,26.98,99.75,57.21,1.74,1.74,1.74,1.74,61.32,3297491.819
Apollo Tyres Limited,Dec '19,163.9,-0.0977,"2,753.60","1,449.13",215.99,152.82,502.5,8.62,54.93,27.33,130.67,57.21,2.28,2.28,2.28,2.28,61.48,3377602.651
MRF Limited,Mar '14,21788.75,0.1252,"3,298.91","2,165.64",185.81,106.41,533.48,10.75,62.96,83,170.87,4.24,402.87,402.87,402.87,402.87,105.9,2377153.849
MRF Limited,Jun '14,23611.6,0.0837,"3,336.98","1,990.04",191.24,106.31,529.48,20.05,53.6,119,230.22,4.24,542.82,542.82,542.82,542.82,105.75,2379355.815
MRF Limited,Sep '14,32681.95,0.3841,"3,361.12","2,057.00",180.33,111.03,574.21,24.88,56.45,148,316.91,4.24,747.24,747.24,747.24,747.24,87.12,2457010.248
MRF Limited,Dec '14,37918.55,0.1602,"3,353.01","2,031.40",202.23,116,583.7,25.62,60.19,152.25,323.51,4.24,762.78,762.78,762.78,762.78,54.74,2498611.783
MRF Limited,Mar '15,38750.65,0.0219,"3,312.03","1,892.10",199.03,109.42,581.56,20.74,63.65,145,332.62,4.24,784.28,784.28,784.28,784.28,59.36,2560191
MRF Limited,Jun '15,34230.85,-0.1166,"3,477.17","1,818.67",211.93,117.43,498.51,42.63,51.84,219.26,479.54,4.24,"1,130.70","1,130.70","1,130.70","1,130.70",55.12,2578225
MRF Limited,Sep '15,41935.95,0.2251,"3,273.36","1,879.44",208.5,124.58,491.36,60.83,52.85,222.87,449.92,4.24,"1,060.85","1,060.85","1,060.85","1,060.85",45.09,2637004
MRF Limited,Dec '15,39877.5,-0.0491,"3,200.21","1,813.51",222.66,127.43,483.7,53.93,54.19,202.8,415.59,4.24,979.9,979.9,979.9,979.9,31.43,2716448
MRF Limited,Mar '16,38296.75,-0.0396,"3,386.48","1,727.79",222.08,139.91,566.87,66.98,58.29,171.42,423.46,4.24,998.45,998.45,998.45,998.45,40.44,2798726.369
MRF Limited,Jun '16,33077.65,-0.1363,"3,481.97","1,725.45",224.84,142.12,521.46,73.56,59.98,220.55,490.93,4.24,"1,157.54","1,157.54","1,157.54","1,157.54",44.96,2791993.716
MRF Limited,Sep '16,50872.55,0.538,"3,249.49","1,914.53",254.86,150.7,542.98,122.07,62.55,180.42,385.29,4.24,908.46,908.46,908.46,908.46,46.06,2835614.058
MRF Limited,Dec '16,48905.65,-0.0387,"3,175.90","1,919.26",250.67,154.13,547.3,74,61.47,136.67,288.08,4.24,679.26,679.26,679.26,679.26,53.89,2901950.786
MRF Limited,Mar '17,60954.45,0.2464,"3,338.44","2,119.94",252.78,162.19,565.42,65.39,61.52,77.66,286.77,4.24,676.17,676.17,676.17,676.17,51.51,2938107.454
MRF Limited,Jun '17,68325.9,0.1209,"3,566.61","2,340.28",256.47,166.85,627.72,89.17,62.71,28.09,106.53,4.24,251.19,251.19,251.19,251.19,48.35,2946670.048
MRF Limited,Sep '17,63005.3,-0.0779,"3,591.11","2,198.02",269.51,173.96,561.73,69.11,59.95,141,299.92,4.24,707.17,707.17,707.17,707.17,57.3,3032795.021
MRF Limited,Dec '17,72357.05,0.1484,"3,798.82","2,195.77",276.75,177.82,599.75,44.83,57.68,172,340.51,4.24,802.87,802.87,802.87,802.87,64.3,3116597.991
MRF Limited,Mar '18,72513.25,0.0022,"3,865.38","2,212.86",271.92,186.71,620.27,79.37,64.83,168.54,345.32,4.24,814.2,814.2,814.2,814.2,69.42,3147143.007
MRF Limited,Jun '18,74974.45,0.0339,"3,855.55","2,319.58",271.89,186.74,669.15,51.64,63.08,136.4,260.74,4.24,614.79,614.79,614.79,614.79,73.28,3127552.992
MRF Limited,Sep '18,63598.55,-0.1517,"3,928.16","2,600.12",288.1,199.77,691.91,76.69,64.26,130.62,263.04,4.24,620.2,620.2,620.2,620.2,74.46,3193097.227
MRF Limited,Dec '18,66984.7,0.0532,"4,033.76","2,712.49",297.92,205.2,710.35,125.75,63.14,130,279.26,4.24,658.46,658.46,658.46,658.46,60.53,3266006.55
MRF Limited,Mar '19,56296.95,-0.1596,"4,073.45","2,588.21",286.37,214.56,734.17,109.47,57.31,115,293.83,4.24,692.82,692.82,692.82,692.82,69.25,3287871.77
MRF Limited,Jun '19,56609.6,0.0056,"4,409.50","2,603.19",308.48,228,801.95,104.88,68.18,143,268.52,4.24,633.13,633.13,633.13,633.13,61.78,3256509.346
MRF Limited,Sep '19,63291.55,0.118,"3,947.57","2,407.83",329.99,237.2,729.85,94.8,66.49,111.5,220.36,4.24,519.58,519.58,519.58,519.58,61.32,3297491.819
MRF Limited,Dec '19,66330.3,0.048,"4,008.89","2,312.82",337.95,248.97,667.48,73.34,70.44,127.5,236.63,4.24,557.94,557.94,557.94,557.94,61.48,3377602.651
Goodyear Inida Limited,Mar '14,420.45,0.1359,387.07,177.1,21.43,6.57,52.06,10.59,1,14.48,28.09,23.07,12.18,12.18,12.18,12.18,105.9,2377153.849
Goodyear Inida Limited,Jun '14,507.85,0.2079,433.03,179.44,23.42,6.88,58.7,6.96,0.94,14.95,28.91,23.07,12.53,12.53,12.53,12.53,105.75,2379355.815
Goodyear Inida Limited,Sep '14,655.55,0.2908,401.6,175.59,23.3,7.39,63.83,6.63,0.79,13.07,25.22,23.07,10.93,10.93,10.93,10.93,87.12,2457010.248
Goodyear Inida Limited,Dec '14,627.3,-0.0431,359.97,150.76,30.72,7.67,59.63,6.96,0.69,9.77,19,23.07,8.25,8.25,8.25,8.25,54.74,2498611.783
Goodyear Inida Limited,Mar '15,517.25,-0.1754,275.05,127.06,24.71,8.76,52.24,6.61,0.6,8.1,15.62,23.07,6.77,6.77,6.77,6.77,59.36,2560191
Goodyear Inida Limited,Jun '15,545.5,0.0546,432.38,134.32,27.74,8.09,67.53,5.77,0.66,19.63,36.27,23.07,15.72,15.72,15.72,15.72,55.12,2578225
Goodyear Inida Limited,Sep '15,568,0.0412,381.57,142.22,29.52,7.76,64.46,7.31,0.69,15.37,29.05,23.07,12.59,12.59,12.59,12.59,45.09,2637004
Goodyear Inida Limited,Dec '15,569.75,0.0031,366.07,108.88,29.07,7.66,55.71,10,0.65,14.09,26.12,23.07,11.32,11.32,11.32,11.32,31.43,2716448
Goodyear Inida Limited,Mar '16,480.7,-0.1563,295.2,112.65,26.61,8.26,59.84,6.57,0.64,9.02,16.05,23.07,6.96,6.96,6.96,6.96,40.44,2798726.369
Goodyear Inida Limited,Jun '16,526.35,0.095,416.03,132.72,29.09,7.99,59.13,6.73,0.67,21.4,41.28,23.07,17.89,17.89,17.89,17.89,44.96,2791993.716
Goodyear Inida Limited,Sep '16,689.25,0.3095,386.5,139.06,33.28,8.34,60.61,8.22,1.18,18.92,34.77,23.07,15.07,15.07,15.07,15.07,46.06,2835614.058
Goodyear Inida Limited,Dec '16,665.25,-0.0348,375.45,135.07,29.74,8.55,60.67,9.6,0.86,17.92,33.24,23.07,14.41,14.41,14.41,14.41,53.89,2901950.786
Goodyear Inida Limited,Mar '17,845.15,0.2704,335.47,166.76,28.75,8.78,60.35,7.65,0.63,9.99,18.1,23.07,7.85,7.85,7.85,7.85,51.51,2938107.454
Goodyear Inida Limited,Jun '17,885.85,0.0482,468.24,200.14,34.16,8.83,63.67,7.11,0.67,15.09,28.45,23.07,12.33,12.33,12.33,12.33,48.35,2946670.048
Goodyear Inida Limited,Sep '17,817.8,-0.0768,416.61,168.79,29.32,8.67,62.88,7.62,0.71,22.38,41.91,23.07,18.17,18.17,18.17,18.17,57.3,3032795.021
Goodyear Inida Limited,Dec '17,1046.75,0.28,398.9,153.51,32.65,9.09,60.89,13.3,0.81,20.06,37.61,23.07,16.3,16.3,16.3,16.3,64.3,3116597.991
Goodyear Inida Limited,Mar '18,1111.85,0.0622,380.92,177.42,30.84,9.55,70.65,9.17,0.7,11.79,21.98,23.07,9.53,9.53,9.53,9.53,69.42,3147143.007
Goodyear Inida Limited,Jun '18,1112.05,0.0002,534.63,207.45,31.71,9.98,87.24,8.8,0.75,13.32,24.78,23.07,10.74,10.74,10.74,10.74,73.28,3127552.992
Goodyear Inida Limited,Sep '18,930.05,-0.1637,489.32,216.3,27.8,10.15,78.93,9.8,0.74,15.44,28.74,23.07,12.46,12.46,12.46,12.46,74.46,3193097.227
Goodyear Inida Limited,Dec '18,948.1,0.0194,464.08,188.21,35.14,10.4,67.8,10.8,0.74,11.94,21.69,23.07,9.4,9.4,9.4,9.4,60.53,3266006.55
Goodyear Inida Limited,Mar '19,922.15,-0.0274,423.88,205.95,32.01,10.5,64.84,8.84,0.77,15.37,26.86,23.07,11.64,11.64,11.64,11.64,69.25,3287871.77
Goodyear Inida Limited,Jun '19,963.05,0.0444,490.28,191.19,33.95,11.85,70.77,8.97,1.02,14.12,26.25,23.07,11.38,11.38,11.38,11.38,61.78,3256509.346
Goodyear Inida Limited,Sep '19,937.25,-0.0268,454.08,193.63,37.02,12.17,66.4,8.53,0.99,5.22,37.79,23.07,16.38,16.38,16.38,16.38,61.32,3297491.819
Goodyear Inida Limited,Dec '19,980.05,0.0457,426.26,124.9,36.31,12.87,76.24,9.61,0.98,4.33,11.88,23.07,5.15,5.15,5.15,5.15,61.48,3377602.651
Ceat Limited,Mar '14,441.75,0.3753,"1,407.96",925.58,69.25,20.64,259.49,3.99,39.74,30.65,58.57,35.96,16.29,16.29,16.29,16.29,105.9,2377153.849
Ceat Limited,Jun '14,683.55,0.5474,"1,410.70",829.15,80.15,21.02,277.06,2.78,38.99,23.99,46.8,35.96,13.02,13.02,13.02,13.02,105.75,2379355.815
Ceat Limited,Sep '14,794.8,0.1628,"1,381.64",816.57,83.29,21.42,283.68,15.61,34.61,39.7,82.1,35.96,22.83,22.83,22.83,22.83,87.12,2457010.248
Ceat Limited,Dec '14,860.45,0.0826,"1,365.67",813.89,89.56,23.2,290.29,4.67,30.55,40.92,80.63,40.45,21.43,21.43,21.43,21.43,54.74,2498611.783
Ceat Limited,Mar '15,804.45,-0.0651,"1,433.65",799.37,96.85,22.22,315.26,6.2,28.76,39.28,89.44,40.45,22.11,22.11,22.11,22.11,59.36,2560191
Ceat Limited,Jun '15,662.2,-0.1768,"1,418.93",733.95,94.43,23.11,295.98,8.12,25.46,58.76,117.77,40.45,29.11,29.11,29.11,29.11,55.12,2578225
Ceat Limited,Sep '15,1281.95,0.9359,"1,356.90",775.99,91.65,22.8,315.39,19.89,21.87,50.03,114.93,40.45,28.41,28.41,28.41,28.41,45.09,2637004
Ceat Limited,Dec '15,1051.4,-0.1798,"1,327.88",738.84,90.99,26.21,305.92,12.02,18.97,46.12,117.59,40.45,29.07,29.07,29.07,29.07,31.43,2716448
Ceat Limited,Mar '16,1086.65,0.0335,"1,391.41",705,90.1,28.3,330.18,6.14,22.86,28.63,102.23,40.45,25.27,25.27,25.27,25.27,40.44,2798726.369
Ceat Limited,Jun '16,838.85,-0.228,"1,455.81",772.57,90.43,29.96,346.35,6.89,24.54,40.48,96.49,40.45,23.85,23.85,23.85,23.85,44.96,2791993.716
Ceat Limited,Sep '16,1326.4,0.5812,"1,413.82",831.38,94.8,31.44,317.39,5.29,15.59,41.78,101.82,40.45,25.17,25.17,25.17,25.17,46.06,2835614.058
Ceat Limited,Dec '16,1163.1,-0.1231,"1,382.34",810.46,99.77,34.85,318.62,23.84,18.51,26.8,94.18,40.45,23.28,23.28,23.28,23.28,53.89,2901950.786
Ceat Limited,Mar '17,1324.85,0.1391,"1,450.69",894.47,98.85,45.76,301.19,5,20.39,-5.13,70.21,40.45,,,,,51.51,2938107.454
Ceat Limited,Jun '17,1795,0.3549,"1,451.07",949.8,96.16,39.34,335.82,31.43,22.16,4.4,19.84,40.45,4.73,4.73,4.73,4.73,48.35,2946670.048
Ceat Limited,Sep '17,1714.6,-0.0448,"1,511.82",808.84,105.15,40.62,305.6,8.4,23.28,41.73,83.49,40.45,20.64,20.64,20.64,20.64,57.3,3032795.021
Ceat Limited,Dec '17,1950.85,0.1378,"1,549.93",950.24,105.55,40.52,342.18,8.65,21.73,46.35,90.99,40.45,22.49,22.49,22.49,22.49,64.3,3116597.991
Ceat Limited,Mar '18,1506.3,-0.2279,"1,648.53",941.45,106.25,41.19,334.6,9.22,19.28,38.45,85.14,40.45,21.05,21.05,21.05,21.05,69.42,3147143.007
Ceat Limited,Jun '18,1258.15,-0.1647,"1,674.15",997.57,110.25,41.4,361.73,5.6,15.03,43.08,77.87,40.45,19.25,19.25,19.25,19.25,73.28,3127552.992
Ceat Limited,Sep '18,1141.05,-0.0931,"1,718.16","1,096.08",131.68,43.54,372.07,12.21,12.7,35.4,75.32,40.45,18.62,18.62,18.62,18.62,74.46,3193097.227
Ceat Limited,Dec '18,1306.4,0.1449,"1,673.41","1,172.08",131.41,43.43,400.96,6.4,16.07,28.23,58.03,40.45,14.35,14.35,14.35,14.35,60.53,3266006.55
Ceat Limited,Mar '19,1090.3,-0.1654,"1,717.45","1,007.91",118.61,45.93,379.91,32.38,20.72,14.15,77.69,40.45,19.21,19.21,19.21,19.21,69.25,3287871.77
Ceat Limited,Jun '19,923.6,-0.1529,"1,703.60",950.71,124,59.45,371.45,14.83,29.58,-1.12,86.99,40.45,21.5,21.5,21.5,21.5,61.78,3256509.346
Ceat Limited,Sep '19,957.1,0.0363,"1,645.31",958.92,112.22,61.94,386.68,17.09,29.5,29.8,65.88,40.45,16.29,16.29,16.29,16.29,61.32,3297491.819
Ceat Limited,Dec '19,988.85,0.0332,"1,708.57","1,023.06",134.02,64.76,411.96,5.67,30.07,29.7,62.05,40.45,15.34,15.34,15.34,15.34,61.48,3377602.651
JK Tyre and Industries Limited,Mar '14,35.47,0.0117,"1,583.89",966.35,94.68,38.2,233.78,6.08,66.72,13.4,30.9,41.06,7.53,7.37,7.53,7.37,105.9,2377153.849
JK Tyre and Industries Limited,Jun '14,64.76,0.8258,"1,566.74","1,033.75",104.28,34.57,237.14,3.21,65.08,22.86,38.98,41.06,9.49,9.11,9.49,9.11,105.75,2379355.815
JK Tyre and Industries Limited,Sep '14,97.84,0.5108,"1,531.86","1,003.22",110.69,34.33,241.23,3.24,60.76,32.07,58.2,41.06,14.17,13.34,14.17,13.34,87.12,2457010.248
JK Tyre and Industries Limited,Dec '14,130.5,0.3338,"1,523.07",942.19,114.88,35.33,247,3.66,57.68,30.16,70.24,41.06,3.42,3.18,3.42,3.18,54.74,2498611.783
JK Tyre and Industries Limited,Mar '15,105.1,-0.1946,"1,503.56",882.46,129.63,34.91,239.01,4.64,57.28,38.72,85.88,45.36,3.81,3.79,3.81,3.79,59.36,2560191
JK Tyre and Industries Limited,Jun '15,81.55,-0.2241,"1,502.08",870.87,124.12,38.73,247.29,2.83,60.53,54.37,104.86,45.36,4.62,4.62,4.62,4.62,55.12,2578225
JK Tyre and Industries Limited,Sep '15,101.95,0.2502,"1,506.83",870.23,135.07,41.58,249.56,4.1,55.72,51.47,109.7,45.36,4.84,4.84,4.84,4.84,45.09,2637004
JK Tyre and Industries Limited,Dec '15,111.1,0.0897,"1,371.95",777.52,136.82,44.44,235.95,3.17,55.37,41.85,92.17,45.36,4.06,4.06,4.06,4.06,31.43,2716448
JK Tyre and Industries Limited,Mar '16,84.2,-0.2421,"1,499.57",793.3,138.04,47.55,264.13,4.88,57.41,41.58,94.23,45.36,4.15,4.15,4.15,4.15,40.44,2798726.369
